Sample	Insert_size(bp)	Reads_length(bp)	Reads(M)	Bases(G)	Q20_rate(%)	Q30_rate(%)	GC_rate(%)
A2_H2MVWDMXX_L1	287	150	10.18	1.53	97.47	94.97	39.05
B_H2NJFDMXX_L1	300	150	11.44	1.72	98.55	96.93	39.10
C_H3JFKDMXX_L1	298	150	7.71	1.16	97.74	96.30	39.25
D_H3JFKDMXX_L1	287	150	7.54	1.13	97.75	96.33	39.21
E_H3JC2DMXX_L1	296	150	9.47	1.42	97.00	95.10	39.43
F_H3JFKDMXX_L1	280	150	7.49	1.12	97.74	96.29	39.38
G_H3JC2DMXX_L1	296	150	8.46	1.27	97.39	95.67	39.33
H_H3JFKDMXX_L1	282	150	7.6	1.14	97.76	96.31	39.39
I_H3JC2DMXX_L1	290	150	9.42	1.41	97.34	95.60	39.42
J_H3JCWDMXX_L1	287	150	8.16	1.22	98.47	97.46	39.37
